ГруппаВакансий,ОпытРаботы,НазваниеДолжности,КлючевыеТребования,Знания,Навыки,Опыт
Frontend-разработчик,1-3 года,Middle/Senior FrontEnd developer,"[""Sass"", ""Git"", ""JavaScript"", ""Atlassian Jira"", ""Less"", ""ReactJS""]","[""Опыт коммерческой разработки на ReactJS + Redux от 1,5 лет"", ""Уверенное знание Javascript, Es6+"", ""Умение верстать, знание html, css, опыт работы с препроцессорами (scss/sass/less). Умение в адаптивную верстку."", ""Git, webpack""]",,
Frontend-разработчик,1-3 года,Frontend-разработчик Middle,"[""CSS"", ""HTML5"", ""JavaScript"", ""Git"", ""Angular"", ""Frontend"", ""Vue"", ""TypeScript"", ""Docker""]","[""Уверенное знание HTML, CSS, JavaScript (ES6/7+)"", ""Опыт работы с препроцессорами CSS: SASS, LESS"", ""Опыт работы с Typescript"", ""Опыт работы со сборщиками"", ""Опыт работы с JS-фреймворками (Vue.JS или Angular.JS) и компонентными библиотеками (например: Bootstrap, Vuetify, Angular Material UI)"", ""Опыт создания PWA/SPA приложений"", ""Опыт работы с Nuxt.js 2/3"", ""Знание адаптивной, кроссбраузерной верстки"", ""Понимание REST"", ""Работа с системой контроля версий Git (Gitlab)""]",,
Frontend-разработчик,1-3 года,Frontend Developer,"[""JavaScript"", ""React""]","[""Понимание архитектуры web-приложений"", ""Понимание, что такое REST-архитектура и принципы ООП"", ""Уверенный код на HTML/CSS"", ""Знание основ JavaScript и опыт работы с фреймворком React.""]",,
Frontend-разработчик,1-3 года,"Frontend разработчик (удалённо, Game)","[""gamedev"", ""JavaScript"", ""typescript"", ""Node.js"", ""webpack"", ""HTML"", ""CSS"", ""stylus"", ""react"", ""vue""]","[""отличные знания javascript"", ""знания как работать с canvas (webgl тоже будет полезен)"", ""опыт с audio и прочими тонкостями API браузеров"", ""знания typescript"", ""опыт разработки игр"", ""знание git"", ""опыт работы с React""]",,
Frontend-разработчик,1-3 года,Frontend-разработчик,"[""Git"", ""jQuery"", ""Less"", ""MySQL"", ""CSS"", ""PHP"", ""Bootstrap"", ""REST""]","[""Понимаешь, как работает электронная коммерция и магазины"", ""Для тебя понятны принципы Web accessibility"", ""Имеешь опыт работы с бэкендом и знаешь, как данные попадают во фронтенд. Есть понимание как работать с Restful API.""]",,
Frontend-разработчик,1-3 года,Frontend developer (React),"[""React"", ""Redux"", ""JavaScript"", ""Vue""]","[""Знание JavaScript, TypeScript"", ""Практический опыт использования React + Redux"", ""Опыт работы со Vue 2/3 будет преимуществом"", ""Опыт работы по REST, знание основных методов"", ""Понимание принципов адаптивной и кроссбраузерной верстки""]",,
Frontend-разработчик,1-3 года,Frontend developer (React),"[""JavaScript"", ""React"", ""TypeScript"", ""Redux"", ""formic"", ""redux form""]","[""От 2-х лет опыта коммерческой разработки с использованием JavaScript"", ""Опыт коммерческой разработки на React от 1 года"", ""Умение разбираться в чужом коде"", ""Знание основ TypeScript"", ""Опыт с redux, redux-toolkit"", ""Знания HTML5, CSS, SCSS, умение верстать по готовым макетам"", ""Опыт работы с redux form, formic"", ""Понимание основ Rest API"", ""Умение пользоваться системами контроля версий, в частности Git""]",,
Frontend-разработчик,1-3 года,Frontend-разработчик (Angular),"[""JavaScript"", ""Git"", ""Gulp"", ""HTML"", ""CSS"", ""Ajax"", ""jQuery"", ""AngularJS"", ""Vue"", ""REST API"", ""SPA""]","[""Уверенное владение Angular (строго, опыт на React не подойдет"", ""), RxJs, JavaScript (ES5, ES6), TypeScript. Желательно знание библиотеки NgRx."", "" Уверенные знания HTML, CSS."", "" Опыт проектирования и работы с REST API (Swagger)."", "" Опыт работы с инструментами сборки (Gulp / webpack).""]",,
Frontend-разработчик,1-3 года,Разработчик игровых интерфейсов / Game frontend developer,"[""Adobe Photoshop"", ""Adobe Flash"", ""Flash Actionscript"", ""Adobe Animate"", ""Flash"", ""Верстка""]","[""готовы рассмотреть как специалистов с опытом разработки интерфейсов и Web Frontend разработчиков, так и начинающих свой путь в IT"", ""навыки программирования или вёрстки""]",,
Frontend-разработчик,1-3 года,Ведущий (старший) программист клиентской части/Frontend-разработчик на Angular,"[""JavaScript"", ""Typescript"", ""Angular 2+"", ""RxJS"", ""HTML"", ""HTML5"", ""CSS"", ""SCSS"", ""Git""]","[""Уверенное знание JavaScript и TypeScript"", ""Уверенное знание фреймворка Angular 4+"", ""Знание PrimeNG/ Angular Material/ Bootstrap"", ""Уверенное знание RxJS"", ""Отличное знание HTML5, CSS3, препроцессора SCSS"", ""Умение работать с REST API"", ""Умение писать чистый документированный код и разбираться в чужом, анализировать и предлагать свои решения"", ""Умение работать в команде, соблюдать сроки, вовремя сообщать о проблемах"", ""Опыт работы с GIT, NPM.""]",,
