ГруппаВакансий,ОпытРаботы,НазваниеДолжности,КлючевыеТребования,Знания,Навыки,Опыт
Специалист по информационной безопасности  ,1-3 года,Специалист по технической защите информации,"[""Технические средства информационной защиты"", ""Технические системы и средства безопасности"", ""Работа с документами""]","[""знаком с нормативно-правовой базой в области защиты информации ограниченного доступа"", ""знает методы и средства защиты информации от утечки по техническим каналам, по каналам НСД"", ""знает средства контроля защищенности информации""]","[""умеет работать с измерительным оборудованием и измерительными комплексами""]",
Специалист по информационной безопасности  ,Нет,Главный специалист сектора информационной безопасности,"[""Технические средства информационной защиты"", ""НСД Dallas Lock"", ""Внутренний контроль"", ""Аудит безопасности"", ""Выявление каналов утечки информации""]","[""Знание принципов работы ОС Windows/Unix и функционирования ЛВС"", ""Знание принципов, правил, методик, технологий защиты информации и умение их применять"", ""Знание российской нормативной базы по информационной безопасности, включая требования по защите конфиденциальной информации и персональных данных"", ""знание систем/технологий типа IPS, DLP, SIEM, WAF, VPN, PAM, методов предотвращения утечки конфиденциальной информации с применением DLP систем""]","[""навык работы со средствами антивирусной защиты, средствами защиты от НСД (DallasLock, ПАК Соболь), СКЗИ КриптоПро при использовании их для защиты информации""]",
Специалист по информационной безопасности  ,Нет,Ведущий специалист по информационной безопасности,"[""Средства криптографической защиты информации""]","[""Знание законодательства РФ в области защиты объектов критической информационной инфраструктуры (от 26.07.2017 №187-ФЗ, от 08.02.2017 №127-ПП, Приказы ФСТЭК от 21.12.2017 №235 и от 25.12.2017 №239)"", ""Знание законодательства РФ в области обработки и защиты персональных данных (от 27.07.2006 №152-ФЗ)"", "" Знание законодательства РФ в области защиты информации и обеспечения режима коммерческой тайны (от 29.07.2004 №98-ФЗ)""]",,"[""Опыт работы с программами: Крипто-Про, Kaspersky Security Center, DLP InfoWatch Traffic Monitor, сканер уязвимостей, МСЭ UserGate""]"
Специалист по информационной безопасности  ,нет,Главный специалист-эксперт (информационная безопасность),,"[""Знание: информационных технологий, применения персонального компьютера, составляющих персонального компьютера, включая аппаратное и программное обеспечение, устройств хранения данных, современных коммуникаций, сетевых приложений, программного обеспечения, программно-технических способов и средств обеспечения информационной безопасности""]","[""Наличие навыков: мыслить системно (стратегически), квалифицированного планирования работы, понимания и практического применения нормативных правовых актов, рационального использования служебного времени, квалифицированного планирования работы. Умение управлять изменениями""]",
Тестировщик,1-3 года,QA-engineer WEB / инженер по тестированию Веб,,"[""Знаешь как понять, что сервер пятисотит"", ""Знаешь как составить тест-кейс и чек-лист тестирования"", ""Знаешь что такое JS, CSS, HTML, PHP, Git и HTTPS"", ""Отличаешь баг от фичи                                                                                      Пробуешь себя в автоматизации тестирования"", ""Знаешь SQL-запросы"", ""Можешь найти API у какого-нибудь вендора и посмотреть методы"", ""Проходил курсы на software-testing.ru"", ""Опыт работы с Craft CMS""]",,
Тестировщик,1-3 года,Junior QA Engeneer,"[""Atlassian Jira"", ""Scrum"", ""Swagger"", ""Проведение тестирований"", ""MySQL""]","[""Теорию тестирования"", ""Техники тест дизайна"", ""Принципы работы Web API"", ""HTTP Протокол"", ""SQL на продвинутом уровне"", ""Шаблоны описания ошибок"", ""Бизнес логику тестируемых систем"", ""Принципы разработки автотестов""]",,
Тестировщик,1-3 года,Тестировщик,"[""Тестирование"", ""QA""]","[""Опыт ручного или автоматизированного тестирования от 1 года"", ""Теория тестирования"", ""Знания 1С на уровне аналитика/ начинающего программиста)""]",,
Тестировщик,1-3 года,Тестировщик пользовательских интерфейсов/UI Test Engineer,"[""UI Testing"", ""UI"", ""Тестирование пользовательского интерфейса"", ""Тест-дизайн"", ""Регрессионное тестирование"", ""Функциональное тестирование"", ""Веб-тестирование"", ""Английский — A1 — Начальный""]","[""опыт работы в UI тестировании от 1,5 лет"", ""понимание принципов работы веб-приложений и мобильных приложений"", ""знание особенностей разработки и тестирования frontend"", ""знание теории тестирования и техники тест-дизайна""]",,
Тестировщик,1-3 года,Тестировщик ПО / QA Инженер,"[""Функциональное тестирование"", ""Test case"", ""Atlassian Jira"", ""тестирование мобильных приложений""]","[""Понимаете жизненный цикл продукта и принципы разработки и методологий тестирования"", ""У вас есть опыт работы с Jira"", ""У вас есть опыт тестирования API (Postman, Charles Proxy)"", ""Вы знаете основы PHP, Javascript, HTML, CSS""]",,
Тестировщик,1-3 года,QA Engineer (backend),"[""Atlassian Jira"", ""Atlassian Confluence"", ""Функциональное тестирование"", ""Postman"", ""Тестирование пользовательского интерфейса""]","[""опыт тестирования API (Postman)"", ""опыт работы с Jira, Confluence"", ""опыт работы с Chrome DevTools, Kibana""]",,
Тестировщик,1-3 года,Инженер-тестировщик,"[""Python"", ""Тестирование"", ""ARM"", ""Embedded"", ""Ручное тестирование"", ""Проведение тестирований"", ""Автоматизированное тестирование"", ""Java""]","[""Знание методологий тестирования ПО и понимание жизненного цикла ПО"", ""Опыт работы с баг-трекинговой системой."", ""Имеете опыт автоматизации тестирования на Python или Java"", ""Имеете опыт работы с радиоэлектронной аппаратурой"", ""Имеете опыт адаптации тестирования под требования бизнеса"", ""Имеете опыт интеграционного тестирования"", ""Знакомы с любой системой контроля версий.""]",,
Тестировщик,1-3 года,Тестировщик ПО / QA Engineer,"[""JavaScript"", ""QA"", ""Python"", ""Тест-дизайн"", ""SoapUI"", ""MS SQL"", ""Ручное тестирование"", ""Тестирование API"", ""Функциональное тестирование"", ""Test case"", ""Atlassian Jira"", ""Check-list"", ""Chrome DevTools"", ""Анализ требований"", ""Регрессионное тестирование"", ""SQL""]","[""Знание основ теории тестирования"", ""Знание техник тест-дизайна"", ""Знание дебаггера на Python в качестве инструмента"", ""Практические навыки составления тестовой документации (чек-лист, баг-репорт, тест-кейс)"", ""Знания по работе с любой баг-трекинговой системой"", ""Знания SQL на уровне простых запросов (join)"", ""Умение работать c DevTools""]",,
Тестировщик,1-3 года,QA Engineer (Anyflow),"[""SQL"", ""Git"", ""XML"", ""SOAP"", ""Функциональное тестирование""]","[""Опыт работы с DB"", ""Опыт работы с XML, XSD, XSLT, REST/SOAP"", ""Опыт работы с системами непрерывной интеграции (Gitlab), системами контроля версий (Git), багтрекинговыми системами"", ""Опыт работы с Docker"", ""Опыт разработки и использования mock-сервисов""]",,
Тестировщик,1-3 года,QA Engineer Payments,"[""API"", ""Postman"", ""Проведение тестирований""]","[""Опыт работы с бэкендом: 1–3 года"", ""Опыт работы с инструменты для тестирования API"", ""Опыт работы с фронтендом и бэкендом"", ""Знание методов и методик тестирования"", ""Опыт тестирования web-приложений (frontend, backend)"", ""Опыт работы с баг-трекинговыми системами (YouTrack, Jira)""]",,
Тестировщик,1-3 года,Тестировщик 1С / QA engineer,"[""Тестирование"", ""QA"", ""Функциональное тестирование"", ""Test case"", ""Ручное тестирование""]","[""знаете 1С v8 на уровне пользователя"", ""вы знакомы с основными принципами тестирования""]",,
Тестировщик,1-3 года,Middle QA engineer,"[""Английский — B1 — Средний""]","[""опыт тестирования клиент-серверных приложений (в том числе, тестирования REST API) от 1 года"", ""опыт тестирования веб-приложений"", ""опыт составления тест-кейсов для ручного тестирования"", ""опыт работы с БД (MySQL)"", ""понимание принципов CI/CD"", ""понимание discovery&delivery процесса"", ""опыт работы с git/gitlab/github"", ""опыт работы с веб-протоколами http/rpc"", ""опыт работы с docker и kubernetes.""]",,
Тестировщик,1-3 года,"Middle QA Specialist (Web, Mobile)","[""QA"", ""Postman"", ""Selenium"", ""Тестирование""]","[""Практический опыт тестирования веб-приложений от 2-х лет."", ""Понимание принципов работы веб приложений, мобильных приложений, браузера, типичных проблем при работе с ними."", ""Понимание процессов разработки и тестирования."", ""Умение систематизировать работу по планированию и выполнению тестов."", ""Опыт работы с postman."", ""Опыт работы с любыми баг/таск трекерами (используем jira)."", ""Умение приоритизировать тестируемые подсистемы и типы дефектов в соответствии с бизнес критичностью."", ""Умение работать с незадокументированными системами.""]",,
Тестировщик,1-3 года,Тестировщик (инженер по тестированию),"[""Функциональное тестирование"", ""Тестирование пользовательского интерфейса"", ""Тестирование"", ""Регрессионное тестирование"", ""Тестирование ПО"", ""Тест-анализ""]","[""Опыт работы тестировщиком не менее одного года."", ""Понимание принципов тестирования программного обеспечения."", ""Владение навыками, техниками и инструментами тест-анализа."", ""Приветствуется опыт работы с конфигурациями 1С в качестве тестировщика, консультанта (сотрудника службы поддержки) или программиста."", ""Приветствуется опыт создания автотестов.""]",,
Тестировщик,1-3 года,Тестировщик БД (удаленно),"[""SQL"", ""PostgreSQL"", ""ORACLE"", ""MS SQL""]","[""Опыт тестирования DWH/КХД/СУБД/Datalake"", ""Опыт составлять чек-листы, тест-кейсы, тест-планы и др. документацию тестирования"", ""Уверенные знания SQL."", ""Основы технологий BigData и экосистемы Hadoop (HDFS, HUE, Hive, Impala)"", ""ETL- инструментами"", ""Основы бухгалтерского учета""]",,
Тестировщик,1-3 года,Тестировщик ПО,"[""Vue.js"", ""Django Framework"", ""Тестирование"", ""Karma"", ""Jasmine"", ""Mocha"", ""Selenium WebDriver""]","[""Знание Vue.js:"", ""Понимание тестирования Django-приложений, включая модели, представления, URL-адреса и формы."", ""Понимание CI/CD и опыт использования инструментов для непрерывной интеграции и доставки, таких как GitLab CI/CD, Jenkins, CircleCI или Travis CI"", ""Понимание процесса тестирования баз данных, включая использование миграций, фейковых данных и тестовых фикстур."", ""Опыт автоматизации тестирования"", ""Понимание архитектуры веб-приложений""]",,
Тестировщик,1-3 года,QA specialist (GameDev),"[""Charles"", ""GameDev""]","[""коммерческий опыт работы на позиции тестировщика игр от 1 года"", ""знание особенностей тестирования iOS и Android приложений"", ""понимание клиент-серверной архитектуры и QA-процессов в целом"", ""опыт работы с автоматизированными методами тестирования"", ""опыт работы с инструментами мониторинга трафика (Charles, Fiddler)"", ""опыт и понимание Unity"", ""знание adb, xCode""]",,
Тестировщик,1-3 года,Инженер по тестированию ПО,,"[""Обязателен опыт написания автотестов для мобильных приложений на Kotlin/Java"", ""Опыт работы с Git (знание основных операций), понимание GitFlow. Опыт работы с GitLab CI приветствуется"", ""Знание любого фреймворка из списка будет плюсом: Espresso, Kakao, UI Automator, Appium"", ""Умение тестировать REST API и использовать тестовые инструменты (Postman, Swagger, Charles и т.д.)"", ""Базовые знания SQL (умение сделать запрос и проанализировать результат)""]",,
Тестировщик,1-3 года,Тестировщик,"[""PostMan"", ""Atlassian Jira"", ""Redmine"", ""SQL"", ""Английский — B1 — Средний""]","[""Понимание жизненного цикла разработки ПО и цикла тестирования"", ""Опыт работы в ручном и интеграционном тестировании"", ""Понимание процессов тестирования и сдачи решений в эксплуатацию"", ""Опыт тестирования мобильных приложений (frontend & backend)"", ""Основы работы с БД и написание простых SQL-запросов для проверки и валидации данных"", ""Опыт работы с PostMan, Jira, Redmine, SQL""]",,
Тестировщик,1-3 года,Тестировщик Битрикс24,,"[""опыт самостоятельного функционального, интеграционного и других видов тестирования на проектах коммерческой разработки / внедрения от 1 года"", ""опыт использования Postman / Swagger / etc для тестирования интеграций"", ""опыт работы с баг-трекинговыми системами"", ""навыки использования dev tools в тестировании"", ""знание теории построения клиент-серверных систем"", ""знание теории интеграций"", ""опыт тестирования решений, разработанных на базе коробочного решения Битрикс24, знакомство с продуктом""]",,
Тестировщик,1-3 года,Инженер по тестированию,"[""Алгоритмы"", ""Linux"", ""Python"", ""C/C++""]","[""Отличные знания технических характеристик (инструкций к установке и эксплуатации) охранно-телематических комплексов СтарЛайн                                                                                                                    Знание основ программирование, базовый уровень С / С++ / Python"", ""Опыт построения диаграмм описания алгоритмов или процессов"", ""Опыт самостоятельной установки охранного-телематических комплексов""]",,
Тестировщик,1-3 года,Ручной тестировщик / Manual QA-инженер (международная IT компания),,"[""Опыт ручного тестирования в коммерческой организации от 1 года (обязательно)"", ""Знание видов тестирования"", ""Понимание процессов разработки ПО и роли тестировщиков"", ""Опыт работы с системами баг-трекинга"", ""Знание ОС семейства Linux, MS Windows на уровне администратора будет плюсом"", ""Ручное тестирование: функциональное, интеграционное и регрессионное"", ""Создание и описание баг-репортов в багтрекере (Jira)""]",,
Тестировщик,1-3 года,QA Engineer (Middle),,"[""коммерческий опыт в тестировании от 2 лет, WEB проектов - от года"", ""опыт работы с инструментами тестирования web-приложений, Postman"", ""опыт анализа требований от бизнес-аналитика и написания тест-кейсов"", ""опыт разработки тестовой документации: тест-планы, чек-листы и тест-кейсы."", ""знание технологий из стека: Docker, kubernetes, Gitlab-CI/CD"", ""опыт работы с большими данными.""]",,
Тестировщик,1-3 года,QA Engineer (Frontend),"[""Ручное тестирование"", ""QA"", ""Проведение тестирований"", ""Регресионное тестирование"", ""YouTrack""]","[""Опыт работы с фронтендом: 6 - 12 месяцев "", ""Знание методов и методик тестирования"", ""Опыт тестирования web-приложений (frontend)"", ""Опыт работы с баг-трекинговыми системами (YouTrack, Jira)""]",,
Тестировщик,1-3 года,Тестировщик (QA-менеджер),"[""Тестирование пользовательского интерфейса"", ""Умение работать с большим объемом информации""]","[""Опыт в тестировании реального ПО."", ""Знание принципов работы приложений рабочего стола, мобильных приложений, элементов управления в интерфейсе пользователя.""]",,
Тестировщик,1-3 года,Тестировщик middle,"[""Функциональное тестирование"", ""Тестирование пользовательского интерфейса"", ""Модульное тестирование"", ""Ручное тестирование"", ""SQL""]","[""Знание методологий тестирования"", ""Навыки декомпозиции объекта тестирования и формализации требований с точки зрения тестирования (что проверять и как проверять)"", ""Навыки написания тест-кейсов и составления тест-ранов"", ""Навыки анализа тестового окружения и написания требований для него"", ""Опыт работы с таск-трекерами"", ""Опыт работы с инструментами тест менеджмента"", ""Опыт работы с Postman.""]",,
Тестировщик,1-3 года,Тестировщик ПО,,"[""Опыт работы не менее 1 года в области тестирования ПО."", ""Знание методологии тестирования"", ""Мануальное тестирование"", ""Написание авто-тестов"", ""Умение работать в системах баг-трекинга (Jira)"", ""Знание SQL"", ""Умение работать в SoapUI/Postman"", ""Базовые знания Windows/Linux""]",,
Тестировщик,1-3 года,Специалист по тестированию,,"[""Опыт тестирования интеграции системы"", ""Тест анализ (умение декомпозировать требования, выявлять серые зоны) опыт работы с баг-трекинговыми системами"", ""Понимание особенностей архитектуры клиент-серверного приложения"", ""Опыт тестирования систем электронной документации, облачных решений"", ""Понимание основ автоматизированного тестирования"", ""Опыт работы Codeception""]",,
Тестировщик,1-3 года,QA Analyst,"[""Работа с базами данных"", ""Автоматизация процессов"", ""SQL"", ""SOAP""]","[""анализировать бизнес процессы, функциональные и концептуальные требования, технических проектов"", ""разрабатывать технические задания для автоматизации сценариев на backend"", ""проводить анализ влияния и актуализацию существующих тестовых сценариев"", ""запускать регрессионные сборки автотестов"", ""анализировать результаты выполнения автотестов по Allure Reports"", ""локализировать и анализировать выявленные ошибки в работе ПО"", ""работать с баг-трекинговыми системами (TFS, Jira).""]",,
Тестировщик,1-3 года,Инженер QA Web (DBAggregators),,"[""Опыт ручного тестирования веб-приложений и веб-API от 2,5 лет"", ""Опыт тестирование требований и макетов"", ""Умение верифицировать дефекты, определять на чьей стороне дефект (фронт или бэк)"", ""Умение составлять запросы к веб-API"", ""Опыт работы с Postman, Devtools, Swagger"", ""Желание развиваться до уровня фулстек-тестировщика"", ""Базовые знания C# или JS, опыт написания автотестов""]",,
Тестировщик,1-3 года,QA automation engineer,"[""QA"", ""Gitlab"", ""Playwright"", ""Cypress"", ""Puppetier"", ""Python"", ""Нагрузочное тестирование"", ""Автоматизированное тестирование"", ""Selenium"", ""JavaScript""]","[""Опыт мануального тестирования front-end и back-end от 2 лет"", ""Хорошее знание Javascript (Typescript будет преимуществом)"", ""Опыт нагрузочного тестирования"", ""Наличие опыта и понимания процессов ci/cd (в работе будет взаимодействие с девопсерами и постановка задач им)"", ""Опыт автоматизированного тестирования от года (опыт настройки, создания тестового фреймворка, организации процесса автоматизированного тестирования будет преимуществом)"", ""Опыт работы / настройки пайплайнов в CI/CD (Gitlab)"", ""Глубокие знания различных видов тестирования, их особенностей"", ""Знания SQL на уровне запроса с join"", ""Опыт автоматизации с использованием Playwright, Cypress, Puppetier будет преимуществом""]",,
Тестировщик,1-3 года,Специалист по тестированию (RnD),"[""SQL"", ""REST/SOAP"", ""Техники тест-дизайна"", ""Check-list""]","[""Опыт в тестировании IT продуктов от 2 лет"", ""Понимание жизненного цикла разработки ПО и основных принципов его тестирования"", ""Умение работать с БД (SQL)""]",,
Тестировщик,1-3 года,QA-аналитик,"[""Use Case Analysis"", ""User Scenario"", ""QA"", ""Git"", ""NUnit"", ""SQL"", ""TCP/IP"", ""HTTP""]","[""Опыт работы в качестве QA-аналитика от 2 лет"", ""Опыт ручного тестирования и написания модульных тестов"", ""Опыт составления Use Case, User Story, ТЗ"", ""Знание жизненного цикла ПО.""]",,
Тестировщик,1-3 года,Тестировщик (QA Engineer) в офис,"[""SQL"", ""Тестирование"", ""Use-Cases"", ""Software Requirements"", ""REST"", ""Bash"", ""RabbitMQ"", ""PowerShell"", ""Unix""]","[""Глубокое понимание процессов тестирования и разработки ПО"", ""практический коммерческий опыт в планировании и написании тестовых сценариев для сложных систем"", ""знание и опыт применения на практике методологии тестирования требований к программному продукту"", ""практический опыт в поиске и профилировании ошибок в веб-приложениях (HTML5, JavaScript Browser Console, W3C validator, Swagger)"", ""практический коммерческий опыт в тестировании Web приложений (Selenium, Rest)"", ""опыт работы с системами виртуализации (как минимум с одной из): VMWare. Hyper-V. KVM"", ""хорошие практические знания SQL или PSQL"", ""опыт работы с брокерами сообщений такие как Kafka, RabbitMQ или аналоги"", ""знание и практика работы с Unix системами"", ""опыт написания (программирования) скриптов – cmd, PowerShell, bash и т.д.""]",,
Тестировщик,1-3 года,QA Engineer (Automation),"[""Linux"", ""SQL"", ""Git"", ""Java""]","[""Понимание процесса тестирования и жизненного цикла разработки ПО"", ""Практический опыт как ручного тестирования, так и автоматизации"", ""Базовые навыки работы с Linux системами"", ""Базовые навыки работы с системами контроля версий (git,svn)"", ""Базовые навыки работы с базами данных, SQL"", ""Базовые навыки работы с IDE - Eclipse, Idea, VScode и т.п.""]",,
Тестировщик,1-3 года,Senior manual QA engineer (платформа производства),"[""Test case"", ""API"", ""QA""]","[""обязателен уровень Senior QA engineer"", ""опыт тестирования backend от 1.5 лет"", ""опыт тестирования API от 1 года"", ""высокий уровень знаний теории тестирования, техник тест-дизайна"", ""опыт тестирования клиент-серверных приложений"", ""опыт работы с Fiddler/Charles, Postman/Insomnia"", ""опыт работы с БД: PostgreSQL, MySQL, MS SQL"", ""знание SQL на уровне написания запросов (select, update, join)"", ""опыт написания тестовой документации: матриц трассировки, отчетов по результатам релиза.8""]",,
Тестировщик,1-3 года,Mobile QA / Инженер по тестированию мобильных приложений,"[""Android"", ""iOS"", ""Xcode""]","[""тестировали мобильные приложения не менее 1,5 лет,"", ""пользовались инструментами CI (TeamCity или Jenkins, Git, Bitbucket),"", ""понимаете, как устроен жизненный цикл приложений,"", ""работали с логами: снимали логи с тестовых девайсов, анализировали и находили причины багов,"", ""понимаете, как работать с RESTful-сервисами,"", ""умеете работать со снифферами.""]",,
Тестировщик,1-3 года,"Сетевой инженер по тестированию
","[""Linux"", ""TCP/IP""]","[""Опыт работы в тестировании от 2х лет"", ""Уверенные знания теории QA"", ""Умение работать с требованиями к продукту, с технической документацией"", ""Знание основных сетевых протоколов стека TCP/IP"", ""Опыт работы с Linux."", ""Опыт автоматизации"", ""Знание стандартов LTE, GSM, топологии и интерфейсов мобильной сети""]",,
Тестировщик,1-3 года,Специалист по тестированию (продукт CRM),"[""SQL"", ""Test case"", ""REST/SOAP"", ""Техники тест-дизайна"", ""Теория тестирования"", ""MS SQL""]","[""Опыт в тестировании IT продуктов от 2 лет"", ""Понимание жизненного цикла разработки ПО и основных принципов его тестирования"", ""Умение работать с БД (SQL)""]",,
Тестировщик,1-3 года,Тестировщик web-приложений в команду мобильной версии OK.RU,"[""QA"", ""Функциональное тестирование"", ""Test case"", ""Java""]","[""опыт тестирования веба и мобильных приложений от 1 года"", ""знание методологий тестирования и понимание жизненного цикла разработки программного обеспечения"", ""опыт работы с DevTools""]",,
Тестировщик,1-3 года,Manual QA инженер (IOS),"[""SQL"", ""создание инструментов для тестирования"", ""Работа в команде""]","[""Опыт тестирования приложений для iOS от 2-х лет"", ""базовое знание SQL"", ""умение работы с Charles/Fiddler"", ""опыт работы с баг-трекинговыми системами"", ""написание технической документации (чек-листы/тест-кейсы/оформление баг-репортов)"", ""понимание клиент-серверной архитектуры"", ""понимание принципов работы Git"", ""понимание и опыт тестирования API.""]",,
Тестировщик,1-3 года,Automation QA Engineer (Java),"[""Selenide"", ""Cucumber"", ""RestAssured"", ""Rest Api"", ""Java""]","[""Опыт взаимодействия с Java, Selenium/Selenide 1 год"", ""Cucumber, RestAssured, Rest Api, Postman, TMS, Jmeter, Gatling, SQL, Jira, Confluence"", ""Опыт работы с базами данных.""]",,
Тестировщик,1-3 года,Инженер-тестировщик ПО,"[""Test case"", ""TFS"", ""Технический английский""]","[""Опыт работы тестировщиком/аналитиком/техническим писателем в ПО от года"", ""Понимание процессов разработки и жизненного цикла ПО."", ""Отличное знание теории и методологии тестирования."", ""Опыт разработки артефактов тестирования: тест-кейсов, результатов тестирования (тест-логов), баг-репортов."", ""Опыт написания кода на любом языке программирования высокого уровня."", ""Опыт разработки требований к ПО.""]",,
Тестировщик,1-3 года,Инженер-тестировщик GIS направления,,"[""Уверенные знания основ тестирования программного обеспечения"", ""Опыт ручного тестирования клиент-серверных desktop-приложений (linux)"", ""Уверенные знания и навыки работы в Windows и Linux (Ubuntu/Debian)"", ""Знание систем контроля версий"", ""Умение пользоваться системами баг-трекинга и управления задачами""]",,
Тестировщик,1-3 года,QA Fullstack Python,"[""Тестирование пользовательского интерфейса"", ""API"", ""Python"", ""QA"", ""Автоматизация тестирования""]","[""Опыт разработки автотестов от 2х лет"", ""Умение работать с Selenium | Selenide | Playwright"", ""Понимание REST API, HTTPS"", ""Умение работать с Docker""]",,
Тестировщик,1-3 года,Инженер по нагрузочному тестированию,,"[""Опыт работы от 1 года в нагрузочном тестировании, опыт написания заглушек и скриптов"", ""Желательно самостоятельное формирование профиля НТ на основе статистики с ПРОМа, иметь опыт запуска процессов НТ с нуля либо самостоятельного проведения работ по НТ без куратора/лида"", ""Знание инструментов нагрузочного тестирования ( HPE Performance Center, LoadRunner - в приоритете)"", ""Понимание методологии нагрузочного тестирования"", ""Умение писать простые программы на C/Java, базовые SQL-запросы""]",,
Тестировщик,1-3 года,QA Automation / Тестировщик-автоматизатор,"[""Тестирование""]","[""Умение писать, понимать и ревьювить код на python"", ""Работать с библиотеками pytest, requests"", ""Понимать HTML, DOM, JS, CSS"", ""Уметь писать и оптимизировать локаторы на XPATH/CSS"", ""Писать UI тесты с помощью Selenium или Playwright"", ""Тестировать все уровни web-приложения (UI, API, БД) с использованием подходящих инструментов"", ""Читать логи"", ""Оформлять дефекты в Jira"", ""Подготавливать тестовые данные"", ""Иметь навыки работы с системами контроля версия (Git).""]",,
Тестировщик,1-3 года,QA Engineer для проектов на JS и Python,"[""JavaScript"", ""Python"", ""Gitlab"", ""Cypress"", ""Appium"", ""Cucumber""]","[""Опыт работы с Atlassian Jira, Confluence, Qase"", ""Опыт тестирования web-приложений (Кроссбраузерное тестирование)"", ""Опыт работы с техниками тест-дизайна"", ""Понимание процесса разработки и тестирования ПО"", ""Опыт создания и работы с тестовой документацией (тесты-кейсы, тест-планы и т.д.)"", ""Опыт работы с JSON, REST API"", ""Опыт использование утилит для выполнения сетевых запросов: Postman"", ""Знание базовых команд unix"", ""Опыт работы с логами и баг-трекерами.""]",,
Тестировщик,1-3 года,Тестировщик Way4,,"[""Знание основ и теории тестирования – уровни, типы, методики, техники и практики тестирования"", ""Знание Way4 на уровне пользователя (DBManager, выпуск карт, заведение и поиск документов, формирование отчетов, установка лимитов, арестов и т.п.)"", ""Знание SQL (начальный уровень, выборки)"", ""Базовые знания API (знание и опыт работы с инструментами типа Postman / SoapUI)"", ""Понимание процесса разработки программного обеспечения."", ""Желателен опыт написания тест-планов, тест-кейсов, отчетов тестирования, работы с дефектами, работы с требованиями."", ""Желательно знание Product Inspector (написание, отладка импорт/экспорт скриптов)""]",,
Тестировщик,1-3 года,QA инженер по нагрузочному тестированию,,"[""наличие теоретических знаний о нагрузочном тестировании, знание метрик для оценки производительности системы"", ""наличие опыта создания входящей и выходящей документации по нагрузочному тестированию"", ""опыт работы с инструментами мониторинга Telegraf, Influx, Grafana - создание dashboards и умение анализировать данные"", ""наличие опыта разработки нагрузочных скриптов, эмуляторов, утилит генерации тестовых данных (от 1,5 лет),"", ""уверенное знание JMeter, Gatling, Locust"", ""наличие опыта работы с БД на уровне написания запросов (СУБД PostgreSQL)"", ""владение одним из языков программирования JAVA, Python"", ""наличие опыта работы с IntelliJ IDEA, Nexus, Git, Bitbucket, Jenkins, Jira+Confluence"", ""наличие опыта работы с технологиями/протоколами: Kubernetes, Kafka, XML, JSON"", ""опыт работы с консолью Linux, знание основных Unix shell команд""]",,
